term_id,term,cluster_id,domain,membership_probability,is_representative,labeling_method,evidence
term_00f3ee6bf94038cfb789,Road freight transport - ENP-East countries,cluster_310e64b58954,transport,1.000000,false,embedding_threshold,"{""classification_run_id"": ""run_75b90575bb9e48ce7918"", ""domain_scores"": {""agriculture, forestry, and fisheries"": 0.6568437781978611, ""economy and finance"": 0.6812492999573971, ""industry, trade, and services"": 0.6995698206879771, ""labour market"": 0.6614922186669936, ""transport"": 0.860033991344811}, ""source"": ""hdbscan_pearl_small""}"
term_5e4df62ef683da8502b4,Road freight transport - ENP-South countries,cluster_310e64b58954,transport,1.000000,true,embedding_threshold,"{""classification_run_id"": ""run_75b90575bb9e48ce7918"", ""domain_scores"": {""agriculture, forestry, and fisheries"": 0.6568437781978611, ""economy and finance"": 0.6812492999573971, ""industry, trade, and services"": 0.6995698206879771, ""labour market"": 0.6614922186669936, ""transport"": 0.860033991344811}, ""source"": ""hdbscan_pearl_small""}"
term_bd16ed3b50396db5bfb6,road freight transport in volume,cluster_310e64b58954,transport,0.939884,false,embedding_threshold,"{""classification_run_id"": ""run_75b90575bb9e48ce7918"", ""domain_scores"": {""agriculture, forestry, and fisheries"": 0.6568437781978611, ""economy and finance"": 0.6812492999573971, ""industry, trade, and services"": 0.6995698206879771, ""labour market"": 0.6614922186669936, ""transport"": 0.860033991344811}, ""source"": ""hdbscan_pearl_small""}"
term_35f091028bedc80f3304,Road traffic: road freight transport in volume,unclustered,cross-domain or other,0.000000,false,noise_default,"{""classification_run_id"": ""run_75b90575bb9e48ce7918"", ""domain_scores"": {}, ""source"": ""hdbscan_pearl_small""}"
term_793c46c555df1c2cc3be,"Rye and winter cereal mixtures by area, production and humidity",cluster_9391f8d593af,"agriculture, forestry, and fisheries",1.000000,true,embedding_threshold,"{""classification_run_id"": ""run_75b90575bb9e48ce7918"", ""domain_scores"": {""agriculture, forestry, and fisheries"": 0.7215382746502316, ""environment and energy"": 0.6904157422959046, ""labour market"": 0.6448385178470997, ""population and demography"": 0.6238849919667521, ""regional and urban statistics"": 0.6660959028884115}, ""source"": ""hdbscan_pearl_small""}"
term_acd69213722fdbfd0960,Sales and collection of portable batteries and accumulators,unclustered,cross-domain or other,0.000000,false,noise_default,"{""classification_run_id"": ""run_75b90575bb9e48ce7918"", ""domain_scores"": {}, ""source"": ""hdbscan_pearl_small""}"
term_c943668852a9a733cf2d,Sea transport of goods,unclustered,cross-domain or other,0.000000,false,noise_default,"{""classification_run_id"": ""run_75b90575bb9e48ce7918"", ""domain_scores"": {}, ""source"": ""hdbscan_pearl_small""}"
term_8030a23a4a2dc7be617b,Secondary energy production (transformation),unclustered,cross-domain or other,0.000000,false,noise_default,"{""classification_run_id"": ""run_75b90575bb9e48ce7918"", ""domain_scores"": {}, ""source"": ""hdbscan_pearl_small""}"
term_65f931a9d4bebf6fc3e4,"Secondary wood products, production",unclustered,cross-domain or other,0.000000,false,noise_default,"{""classification_run_id"": ""run_75b90575bb9e48ce7918"", ""domain_scores"": {}, ""source"": ""hdbscan_pearl_small""}"
term_3c6db2dfbfb5d56d21f8,Selling prices of barley,cluster_f49b94d07c25,cross-domain or other,0.920045,true,embedding_threshold_fallback,"{""classification_run_id"": ""run_75b90575bb9e48ce7918"", ""domain_scores"": {""agriculture, forestry, and fisheries"": 0.6286479704391296, ""economy and finance"": 0.6610828723423371, ""industry, trade, and services"": 0.6109993208168183, ""labour market"": 0.649603712173702, ""population and demography"": 0.5686531013993591}, ""source"": ""hdbscan_pearl_small""}"
term_8ae9febccaa808aa61b1,Selling prices of calves,cluster_f49b94d07c25,cross-domain or other,1.000000,true,embedding_threshold_fallback,"{""classification_run_id"": ""run_75b90575bb9e48ce7918"", ""domain_scores"": {""agriculture, forestry, and fisheries"": 0.6286479704391296, ""economy and finance"": 0.6610828723423371, ""industry, trade, and services"": 0.6109993208168183, ""labour market"": 0.649603712173702, ""population and demography"": 0.5686531013993591}, ""source"": ""hdbscan_pearl_small""}"
term_7e6b66c9d3d0e5d8a5de,Selling prices of chickens (live 1st choice),cluster_f49b94d07c25,cross-domain or other,0.904691,false,embedding_threshold_fallback,"{""classification_run_id"": ""run_75b90575bb9e48ce7918"", ""domain_scores"": {""agriculture, forestry, and fisheries"": 0.6286479704391296, ""economy and finance"": 0.6610828723423371, ""industry, trade, and services"": 0.6109993208168183, ""labour market"": 0.649603712173702, ""population and demography"": 0.5686531013993591}, ""source"": ""hdbscan_pearl_small""}"
term_1b5c2b9c0bccd1eda4f0,Selling prices of fresh eggs,cluster_f49b94d07c25,cross-domain or other,0.957065,false,embedding_threshold_fallback,"{""classification_run_id"": ""run_75b90575bb9e48ce7918"", ""domain_scores"": {""agriculture, forestry, and fisheries"": 0.6286479704391296, ""economy and finance"": 0.6610828723423371, ""industry, trade, and services"": 0.6109993208168183, ""labour market"": 0.649603712173702, ""population and demography"": 0.5686531013993591}, ""source"": ""hdbscan_pearl_small""}"
term_47ac29381f85fbf42700,Selling prices of main crop potatoes,cluster_f49b94d07c25,cross-domain or other,0.912917,false,embedding_threshold_fallback,"{""classification_run_id"": ""run_75b90575bb9e48ce7918"", ""domain_scores"": {""agriculture, forestry, and fisheries"": 0.6286479704391296, ""economy and finance"": 0.6610828723423371, ""industry, trade, and services"": 0.6109993208168183, ""labour market"": 0.649603712173702, ""population and demography"": 0.5686531013993591}, ""source"": ""hdbscan_pearl_small""}"
term_e8bb5187b5795bdb8efb,Selling prices of maize,cluster_f49b94d07c25,cross-domain or other,0.920045,true,embedding_threshold_fallback,"{""classification_run_id"": ""run_75b90575bb9e48ce7918"", ""domain_scores"": {""agriculture, forestry, and fisheries"": 0.6286479704391296, ""economy and finance"": 0.6610828723423371, ""industry, trade, and services"": 0.6109993208168183, ""labour market"": 0.649603712173702, ""population and demography"": 0.5686531013993591}, ""source"": ""hdbscan_pearl_small""}"
term_2c07bd94b4e43d46432e,Selling prices of oats,cluster_f49b94d07c25,cross-domain or other,0.920045,false,embedding_threshold_fallback,"{""classification_run_id"": ""run_75b90575bb9e48ce7918"", ""domain_scores"": {""agriculture, forestry, and fisheries"": 0.6286479704391296, ""economy and finance"": 0.6610828723423371, ""industry, trade, and services"": 0.6109993208168183, ""labour market"": 0.649603712173702, ""population and demography"": 0.5686531013993591}, ""source"": ""hdbscan_pearl_small""}"
term_e1ed281f7f0b76371214,Selling prices of piglets,cluster_f49b94d07c25,cross-domain or other,1.000000,true,embedding_threshold_fallback,"{""classification_run_id"": ""run_75b90575bb9e48ce7918"", ""domain_scores"": {""agriculture, forestry, and fisheries"": 0.6286479704391296, ""economy and finance"": 0.6610828723423371, ""industry, trade, and services"": 0.6109993208168183, ""labour market"": 0.649603712173702, ""population and demography"": 0.5686531013993591}, ""source"": ""hdbscan_pearl_small""}"
term_6e08e94ef6da9bc1d1a2,Selling prices of pigs (light),cluster_f49b94d07c25,cross-domain or other,1.000000,false,embedding_threshold_fallback,"{""classification_run_id"": ""run_75b90575bb9e48ce7918"", ""domain_scores"": {""agriculture, forestry, and fisheries"": 0.6286479704391296, ""economy and finance"": 0.6610828723423371, ""industry, trade, and services"": 0.6109993208168183, ""labour market"": 0.649603712173702, ""population and demography"": 0.5686531013993591}, ""source"": ""hdbscan_pearl_small""}"
term_ecdcf7eb31b6f39bf823,Selling prices of raw cow's milk,cluster_f49b94d07c25,cross-domain or other,1.000000,false,embedding_threshold_fallback,"{""classification_run_id"": ""run_75b90575bb9e48ce7918"", ""domain_scores"": {""agriculture, forestry, and fisheries"": 0.6286479704391296, ""economy and finance"": 0.6610828723423371, ""industry, trade, and services"": 0.6109993208168183, ""labour market"": 0.649603712173702, ""population and demography"": 0.5686531013993591}, ""source"": ""hdbscan_pearl_small""}"
term_ade4d4857a14058b599e,Selling prices of sheep,cluster_f49b94d07c25,cross-domain or other,1.000000,true,embedding_threshold_fallback,"{""classification_run_id"": ""run_75b90575bb9e48ce7918"", ""domain_scores"": {""agriculture, forestry, and fisheries"": 0.6286479704391296, ""economy and finance"": 0.6610828723423371, ""industry, trade, and services"": 0.6109993208168183, ""labour market"": 0.649603712173702, ""population and demography"": 0.5686531013993591}, ""source"": ""hdbscan_pearl_small""}"
term_95e7e6f2848eac909c03,Selling prices of soft wheat,cluster_f49b94d07c25,cross-domain or other,0.920045,false,embedding_threshold_fallback,"{""classification_run_id"": ""run_75b90575bb9e48ce7918"", ""domain_scores"": {""agriculture, forestry, and fisheries"": 0.6286479704391296, ""economy and finance"": 0.6610828723423371, ""industry, trade, and services"": 0.6109993208168183, ""labour market"": 0.649603712173702, ""population and demography"": 0.5686531013993591}, ""source"": ""hdbscan_pearl_small""}"
term_a98332e2942b3c18dca1,Selling prices of sugar beet (unit value),cluster_f49b94d07c25,cross-domain or other,0.880777,false,embedding_threshold_fallback,"{""classification_run_id"": ""run_75b90575bb9e48ce7918"", ""domain_scores"": {""agriculture, forestry, and fisheries"": 0.6286479704391296, ""economy and finance"": 0.6610828723423371, ""industry, trade, and services"": 0.6109993208168183, ""labour market"": 0.649603712173702, ""population and demography"": 0.5686531013993591}, ""source"": ""hdbscan_pearl_small""}"
term_ffd9b4c7b420884fbe19,Severe housing deprivation rate by income quintile,unclustered,cross-domain or other,0.000000,false,noise_default,"{""classification_run_id"": ""run_75b90575bb9e48ce7918"", ""domain_scores"": {}, ""source"": ""hdbscan_pearl_small""}"
term_807855b35101cb82e6e2,Sewage sludge production and disposal from urban wastewater (in dry substance (d.s)),unclustered,cross-domain or other,0.000000,false,noise_default,"{""classification_run_id"": ""run_75b90575bb9e48ce7918"", ""domain_scores"": {}, ""source"": ""hdbscan_pearl_small""}"
term_1b743ced7fa697781fea,Share of buses and trains in passenger transport,unclustered,cross-domain or other,0.000000,false,noise_default,"{""classification_run_id"": ""run_75b90575bb9e48ce7918"", ""domain_scores"": {}, ""source"": ""hdbscan_pearl_small""}"
term_d9dc4d60cef3d7a1efdf,Share of GBARD in total general government expenditure,unclustered,cross-domain or other,0.000000,false,noise_default,"{""classification_run_id"": ""run_75b90575bb9e48ce7918"", ""domain_scores"": {}, ""source"": ""hdbscan_pearl_small""}"
term_afe7759e5baca150ea21,Share of organic crop area out of the total utilised agricultural area (UAA),unclustered,cross-domain or other,0.000000,false,noise_default,"{""classification_run_id"": ""run_75b90575bb9e48ce7918"", ""domain_scores"": {}, ""source"": ""hdbscan_pearl_small""}"
term_f2f7044cf051e6ac588e,Share of people living in under-occupied dwellings by degree of urbanisation - total population,cluster_e7d0c36b4e48,population and demography,0.770493,false,embedding_threshold,"{""classification_run_id"": ""run_75b90575bb9e48ce7918"", ""domain_scores"": {""health"": 0.6489362833762581, ""labour market"": 0.7028210916628311, ""population and demography"": 0.7487856750551453, ""regional and urban statistics"": 0.6552702354468821, ""social conditions and equality"": 0.7185160585524769}, ""source"": ""hdbscan_pearl_small""}"
term_3af505742b8264ff30b3,Share of people living in under-occupied dwellings by tenure status - total population,cluster_e7d0c36b4e48,population and demography,0.770493,false,embedding_threshold,"{""classification_run_id"": ""run_75b90575bb9e48ce7918"", ""domain_scores"": {""health"": 0.6489362833762581, ""labour market"": 0.7028210916628311, ""population and demography"": 0.7487856750551453, ""regional and urban statistics"": 0.6552702354468821, ""social conditions and equality"": 0.7185160585524769}, ""source"": ""hdbscan_pearl_small""}"
term_823f0fdf459aef1fe7d0,Share of rail and waterways in freight transport,unclustered,cross-domain or other,0.000000,false,noise_default,"{""classification_run_id"": ""run_75b90575bb9e48ce7918"", ""domain_scores"": {}, ""source"": ""hdbscan_pearl_small""}"
term_e2b8352ea0bd6d24d2a8,Share of total population considering their dwelling as too dark,cluster_e7d0c36b4e48,population and demography,0.817818,false,embedding_threshold,"{""classification_run_id"": ""run_75b90575bb9e48ce7918"", ""domain_scores"": {""health"": 0.6489362833762581, ""labour market"": 0.7028210916628311, ""population and demography"": 0.7487856750551453, ""regional and urban statistics"": 0.6552702354468821, ""social conditions and equality"": 0.7185160585524769}, ""source"": ""hdbscan_pearl_small""}"
term_d6eb62d83d043213445a,Share of total population considering their dwelling as too dark - EU-SILC survey,cluster_e7d0c36b4e48,population and demography,0.894707,true,embedding_threshold,"{""classification_run_id"": ""run_75b90575bb9e48ce7918"", ""domain_scores"": {""health"": 0.6489362833762581, ""labour market"": 0.7028210916628311, ""population and demography"": 0.7487856750551453, ""regional and urban statistics"": 0.6552702354468821, ""social conditions and equality"": 0.7185160585524769}, ""source"": ""hdbscan_pearl_small""}"
term_e240bb227d56e6e7f6a3,"Share of total population having neither a bath, nor a shower in their dwelling",cluster_e7d0c36b4e48,population and demography,1.000000,false,embedding_threshold,"{""classification_run_id"": ""run_75b90575bb9e48ce7918"", ""domain_scores"": {""health"": 0.6489362833762581, ""labour market"": 0.7028210916628311, ""population and demography"": 0.7487856750551453, ""regional and urban statistics"": 0.6552702354468821, ""social conditions and equality"": 0.7185160585524769}, ""source"": ""hdbscan_pearl_small""}"
term_658d47fb6d3c1b8c88df,"Share of total population having neither a bath, nor a shower in their dwelling - EU-SILC survey",cluster_e7d0c36b4e48,population and demography,1.000000,true,embedding_threshold,"{""classification_run_id"": ""run_75b90575bb9e48ce7918"", ""domain_scores"": {""health"": 0.6489362833762581, ""labour market"": 0.7028210916628311, ""population and demography"": 0.7487856750551453, ""regional and urban statistics"": 0.6552702354468821, ""social conditions and equality"": 0.7185160585524769}, ""source"": ""hdbscan_pearl_small""}"
term_0b83f07eaa7dd6ad6447,"Share of total population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames of floor",cluster_e7d0c36b4e48,population and demography,0.839701,false,embedding_threshold,"{""classification_run_id"": ""run_75b90575bb9e48ce7918"", ""domain_scores"": {""health"": 0.6489362833762581, ""labour market"": 0.7028210916628311, ""population and demography"": 0.7487856750551453, ""regional and urban statistics"": 0.6552702354468821, ""social conditions and equality"": 0.7185160585524769}, ""source"": ""hdbscan_pearl_small""}"
term_7218e473cbfc459e7f00,"Share of total population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames of floor - EU-SILC survey",cluster_e7d0c36b4e48,population and demography,0.850763,false,embedding_threshold,"{""classification_run_id"": ""run_75b90575bb9e48ce7918"", ""domain_scores"": {""health"": 0.6489362833762581, ""labour market"": 0.7028210916628311, ""population and demography"": 0.7487856750551453, ""regional and urban statistics"": 0.6552702354468821, ""social conditions and equality"": 0.7185160585524769}, ""source"": ""hdbscan_pearl_small""}"
