term_id,canonical_term,category,confidence,variant,protected,evidence,occurrence_ids_json,run_id
term_50eb0e42cf2464964ee5,Air transport traffic: number of aircraft movements,measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_15235f7eadcbb0d732e6""]",run_5f8127cf8e6be829b1ac
term_26408b77200929d0bb01,Animal output - basic and producer prices,measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_6549f7bc0dcda2e57410""]",run_5f8127cf8e6be829b1ac
term_558f4a8e9de234d081fa,Annual aquaculture production,measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_4d8acd97f439c40b7cca""]",run_5f8127cf8e6be829b1ac
term_de9b03884237b6ceb33d,Annual aquaculture production - live weight in tonnes,measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_fcaa402cca294d319fd3""]",run_5f8127cf8e6be829b1ac
term_08daf5eebc86334e6fe1,"annual data, % of GDP",measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_3e5c42e73bd5cea2180a"", ""occ_c006a3a2460023ad6287"", ""occ_c78582a4f145279e743e"", ""occ_de3aff5226c3d24a831f""]",run_5f8127cf8e6be829b1ac
term_e327dc97a9636e3ea46d,Annual production and utilisation of milk on the farm,measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_5a421c4527094a05d8ce""]",run_5f8127cf8e6be829b1ac
term_c8cbf667c7ff9a10e81f,Aquaculture production by aquatic environment,measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_9e44c7817f0a921fffc0""]",run_5f8127cf8e6be829b1ac
term_99a7a01d09d96b6d97c9,Aquaculture production by aquatic environment - ENP-South countries,measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_ecadeeb2add023bd3817""]",run_5f8127cf8e6be829b1ac
term_7789a973297e4d885e32,Aquaculture production in tonnes and value,measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_95da98184fbf47135819""]",run_5f8127cf8e6be829b1ac
term_1ea0302f0e6ecab11f29,Arrears on non-housing bills by income quintile,measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_4aefbd195a0533bcea24""]",run_5f8127cf8e6be829b1ac
term_f562209adf44b800cb23,as % of the population of the corresponding age,measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_946734a7324d4478b10c"", ""occ_a8a75a64cc9415e179a0""]",run_5f8127cf8e6be829b1ac
term_a66e5a24f4ba2094a4f6,as % of the population of the corresponding age group,measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_2b4166c35f72b1ee95d0"", ""occ_d0b97d5f067961cb9799"", ""occ_f1d956c06e253bacdb92""]",run_5f8127cf8e6be829b1ac
term_e1eb350cc06d0a62981f,as % of the total population of post-compulsory school age,measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_2568fd4912b5c4560192""]",run_5f8127cf8e6be829b1ac
term_7c168de392caf7078752,as % of total active population,measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_49ffecd386c30afe7a1a""]",run_5f8127cf8e6be829b1ac
term_e1602b3139cef5deb9f9,as % of total or current expenditure,measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_d241df1b0ec8e79b5a52""]",run_5f8127cf8e6be829b1ac
term_70fbc6c91624609e107f,as % of total public expenditure,measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_4eb7778c63449d84de2d""]",run_5f8127cf8e6be829b1ac
