term_id,canonical_term,category,confidence,variant,protected,evidence,occurrence_ids_json,run_id
term_2628c6a89a9f36655b7d,Standardised incidence rate of accidents at work by NACE Rev. 1.1 activity and employment status,measure,0.88,local-hybrid,True,title evidence with measure lexical cue; local model skipped because gold labels are pending,"[""occ_1fb78dbb58a09fb32bb3""]",run_cf189fe93ed005701355
term_b158aad6bd612123afdc,Standardised incidence rate of accidents at work by NACE Rev. 1.1 activity and size of enterprise,measure,0.72,local-hybrid,False,title-only term treated as likely measure; local model skipped because gold labels are pending,"[""occ_9e3eccbd940cbccff7f1""]",run_cf189fe93ed005701355
term_9d9b8c58ffd4e0f00732,Standardised preventable and treatable mortality,measure,0.72,local-hybrid,False,title-only term treated as likely measure; local model skipped because gold labels are pending,"[""occ_e4fc0fd5a686da478e02""]",run_cf189fe93ed005701355
term_f7d6d6263be04318368a,Stock of general government debt security liabilities issued as 'green bonds',measure,0.72,local-hybrid,False,title-only term treated as likely measure; local model skipped because gold labels are pending,"[""occ_0f9abfe474e679302f8c""]",run_cf189fe93ed005701355
term_5f829060c22d86f7d6b2,"Stock of general government debt security liabilities issued as 'green bonds' - one-off data collection, experimental statistics",measure,0.72,local-hybrid,False,title-only term treated as likely measure; local model skipped because gold labels are pending,"[""occ_beabfafc2278770248a4""]",run_cf189fe93ed005701355
term_03961d630e0cb0a573b4,Stock of vehicles by category,measure,0.72,local-hybrid,False,title-only term treated as likely measure; local model skipped because gold labels are pending,"[""occ_efcc0096a6e85b20d7dd""]",run_cf189fe93ed005701355
term_ad17035c074b8bf92bfb,Stock of vehicles by category - ENP-South countries,measure,0.72,local-hybrid,False,title-only term treated as likely measure; local model skipped because gold labels are pending,"[""occ_6754258b392d2dc18149""]",run_cf189fe93ed005701355
term_19a1a50c5f264bf1bc40,stocks,measure,0.72,local-hybrid,False,title-only term treated as likely measure; local model skipped because gold labels are pending,"[""occ_642d3b4261e29929bb77""]",run_cf189fe93ed005701355
term_ce04e643041319212713,Structural information,measure,0.72,local-hybrid,False,title-only term treated as likely measure; local model skipped because gold labels are pending,"[""occ_8d2fc113099eaa82848d""]",run_cf189fe93ed005701355
term_05db6ec0ab651cfdef71,Students in post-compulsory education,measure,0.72,local-hybrid,False,title-only term treated as likely measure; local model skipped because gold labels are pending,"[""occ_4f0ea110e2b580b4f771""]",run_cf189fe93ed005701355
term_81d71c36ce39beb87a6b,Students in post-compulsory education - as % of the total population of post-compulsory school age,measure,0.88,local-hybrid,True,title evidence with measure lexical cue; local model skipped because gold labels are pending,"[""occ_530a75215b8dda3c7e4e""]",run_cf189fe93ed005701355
term_a3f8c95d7fbef24e23f0,Students in tertiary education,measure,0.72,local-hybrid,False,title-only term treated as likely measure; local model skipped because gold labels are pending,"[""occ_b3147abcd7709b734985""]",run_cf189fe93ed005701355
term_1cb603f82a73f7ac11aa,Subjective poverty by degree of urbanization,measure,0.72,local-hybrid,False,title-only term treated as likely measure; local model skipped because gold labels are pending,"[""occ_4a624ce1b7729df28786""]",run_cf189fe93ed005701355
term_1525307af6e8b30b1efb,Subjective poverty by educational attainment level (population aged 18 and over),measure,0.88,local-hybrid,True,title evidence with measure lexical cue; local model skipped because gold labels are pending,"[""occ_6a0ad2d8f18fe69d000c""]",run_cf189fe93ed005701355
term_15e64c38083428550348,Subjective poverty by tenure status,measure,0.72,local-hybrid,False,title-only term treated as likely measure; local model skipped because gold labels are pending,"[""occ_624269ce8b8bde0d0838""]",run_cf189fe93ed005701355
term_127015b9847860423017,Suicide death rate by age group,measure,0.88,local-hybrid,True,title evidence with measure lexical cue; local model skipped because gold labels are pending,"[""occ_3d985065c468a2e2fc43""]",run_cf189fe93ed005701355
term_e5fc194ff156b63cc4af,Suicides involving railways,measure,0.72,local-hybrid,False,title-only term treated as likely measure; local model skipped because gold labels are pending,"[""occ_2065c337d2a9d5e5b6a8""]",run_cf189fe93ed005701355
term_3f27b8241c4c64735dd8,Surface of the terrestrial protected areas,measure,0.72,local-hybrid,False,title-only term treated as likely measure; local model skipped because gold labels are pending,"[""occ_25bd3d0df8abf96daa59""]",run_cf189fe93ed005701355
term_86d9ca54e33ab9e07261,Suspects of migrant smuggling by citizenship,measure,0.72,local-hybrid,False,title-only term treated as likely measure; local model skipped because gold labels are pending,"[""occ_47ecedb30fb1f09abab8""]",run_cf189fe93ed005701355
term_00c4ef5efc8f0cbcf934,"t, tkm",measure,0.72,local-hybrid,False,title-only term treated as likely measure; local model skipped because gold labels are pending,"[""occ_a09215ef8e1471bd66e5""]",run_cf189fe93ed005701355
term_076306645cc4073f681d,Table grape vines - Area by age and density classes (area in ha),measure,0.72,local-hybrid,False,title-only term treated as likely measure; local model skipped because gold labels are pending,"[""occ_b4397c22997a241220e1""]",run_cf189fe93ed005701355
term_4289c856ffac149f700e,Tax rate on low wage earners - Low wage trap,measure,0.72,local-hybrid,False,title-only term treated as likely measure; local model skipped because gold labels are pending,"[""occ_6207b5e1b61cd1eb9406""]",run_cf189fe93ed005701355
term_a9c7f2dcbb2456b21fef,Tax rate on low wage earners - Unemployment trap,measure,0.88,local-hybrid,True,title evidence with measure lexical cue; local model skipped because gold labels are pending,"[""occ_0d0834dbb681d58ac494"", ""occ_38e99cfe23a87732ff15""]",run_cf189fe93ed005701355
term_94e62c18a072eee0878a,Tax rate on low wage earners: Tax wedge on labour costs,measure,0.72,local-hybrid,False,title-only term treated as likely measure; local model skipped because gold labels are pending,"[""occ_0c31656311af7784f822""]",run_cf189fe93ed005701355
term_3193e24448ed1861e4c1,Tax wedge on labour costs,measure,0.72,local-hybrid,False,title-only term treated as likely measure; local model skipped because gold labels are pending,"[""occ_e658d4d43bd5263e0a87""]",run_cf189fe93ed005701355
term_98b46acc724df37dbbd4,teacher ratio and average class size (ISCED 1-3),measure,0.72,local-hybrid,False,title-only term treated as likely measure; local model skipped because gold labels are pending,"[""occ_40433a3e97d320ca1e79""]",run_cf189fe93ed005701355
term_c47436f846869c0cff22,Teachers working part-time,measure,0.72,local-hybrid,False,title-only term treated as likely measure; local model skipped because gold labels are pending,"[""occ_12354058f6d81def5991""]",run_cf189fe93ed005701355
term_c81fdfed39c3348dee44,"Teachers working part-time - as % of all teachers, by education level",measure,0.72,local-hybrid,False,title-only term treated as likely measure; local model skipped because gold labels are pending,"[""occ_314d28e3601c88fb7c5d""]",run_cf189fe93ed005701355
term_d4ef0f6b6f4f6ee4238c,Technical and vocational education training (TVET),measure,0.72,local-hybrid,False,title-only term treated as likely measure; local model skipped because gold labels are pending,"[""occ_08bc4a14e06485737d68""]",run_cf189fe93ed005701355
term_635cd39b4962341555f5,Terms of trade by items,measure,0.72,local-hybrid,False,title-only term treated as likely measure; local model skipped because gold labels are pending,"[""occ_2ed24187e5877ad2b3ba""]",run_cf189fe93ed005701355
term_6b05d0ac66421a59192c,Terms of trade by items - 5 years % change,measure,0.72,local-hybrid,False,title-only term treated as likely measure; local model skipped because gold labels are pending,"[""occ_15638a204a750301b7ec""]",run_cf189fe93ed005701355
term_0861fc84eecc384d6adc,"Territorialised road freight transport, by transport coverage",measure,0.88,local-hybrid,True,title evidence with measure lexical cue; local model skipped because gold labels are pending,"[""occ_b980ae00375802d7996c""]",run_cf189fe93ed005701355
term_71d5be4aff0fb69bb056,"Territorialised road freight transport, by transport coverage - annual data",measure,0.88,local-hybrid,True,title evidence with measure lexical cue; local model skipped because gold labels are pending,"[""occ_14c0bcc0fb6df4b4da9d""]",run_cf189fe93ed005701355
term_f36d16016aa14d4c474e,Tertiary educational attainment (age group 30-34),measure,0.72,local-hybrid,False,title-only term treated as likely measure; local model skipped because gold labels are pending,"[""occ_a8b09d5349c4404be117""]",run_cf189fe93ed005701355
